Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generate,Long Statement,The length of the statement "classBuilder.addMethod(MethodSpec.methodBuilder("getPresenterBinders").addModifiers(Modifier.PUBLIC`Modifier.STATIC).returns(MAP_CLASS_TO_LIST_OF_OBJECT_TYPE_NAME).addStatement("return sViewStateProviders").build());" is 216.,50
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generate,Long Statement,The length of the statement "classBuilder.addMethod(MethodSpec.methodBuilder("getStrategies").addModifiers(Modifier.PUBLIC`Modifier.STATIC).returns(MAP_CLASS_TO_OBJECT_TYPE_NAME).addStatement("return sStrategies").build());" is 194.,50
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generateStaticInitializer,Long Identifier,The length of the parameter additionalMoxyReflectorsPackages is 32.,115
mvp33_Moxy-master,com.arellomobile.mvp.compiler.reflector,MoxyReflectorGenerator,generateStaticInitializer,Long Statement,The length of the statement "ClassName viewStateProvider=ClassName.get(presenterClassName.packageName()`String.join("$"`presenterClassName.simpleNames()) + MvpProcessor.VIEW_STATE_PROVIDER_SUFFIX);" is 168.,115
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewInterfaceProcessor,getMethods,Complex Method,Cyclomatic complexity of the method is 8,80
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewInterfaceProcessor,getMethods,Long Identifier,The length of the field STATE_STRATEGY_TYPE_ANNOTATION is 30.,80
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewInterfaceProcessor,getMethods,Long Statement,The length of the statement "String message=String.format("You are trying generate ViewState for %s. " + "But %s contains non-void method \"%s\" that return type is %s. " + "See more here: https://github.com/Arello-Mobile/Moxy/issues/2"`typeElement.getSimpleName()`typeElement.getSimpleName()`methodElement.getSimpleName()`methodElement.getReturnType());" is 325.,80
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewInterfaceProcessor,checkStrategyAndTagEquals,Long Statement,The length of the statement "throw new IllegalStateException("Both " + existingMethod.getEnclosedClassName() + " and "+ method.getEnclosedClassName()+ " has method "+ method.getName()+ "("+ arguments+ ")"+ " with different "+ parts+ "."+ " Override this method in "+ viewClassName+ " or make "+ parts+ " equals");" is 284.,144
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewInterfaceProcessor,iterateInterfaces,Long Parameter List,The method has 5 parameters. ,168
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewInterfaceProcessor,iterateInterfaces,Long Statement,The length of the statement "throw new IllegalArgumentException("Code generation for interface " + anInterface.getSimpleName() + " failed. Simplify your generics.");" is 136.,168
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewInterfaceProcessor,iterateInterfaces,Long Statement,The length of the statement "TypeElement defaultStrategy=parentDefaultStrategy != null ? parentDefaultStrategy : getInterfaceStateStrategyType(anInterface);" is 127.,168
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewInterfaceProcessor,getInterfaceStateStrategyType,Long Identifier,The length of the field STATE_STRATEGY_TYPE_ANNOTATION is 30.,193
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewMethod,hashCode,Magic Number,The method contains a magic number: 31,119
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewStateClassGenerator,generate,Long Statement,The length of the statement "TypeSpec.Builder classBuilder=TypeSpec.classBuilder(viewName.simpleName() + MvpProcessor.VIEW_STATE_SUFFIX).addModifiers(Modifier.PUBLIC).superclass(ParameterizedTypeName.get(ClassName.get(MvpViewState.class)`nameWithTypeVariables)).addSuperinterface(nameWithTypeVariables).addTypeVariables(viewInterfaceInfo.getTypeVariables());" is 329.,31
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewStateClassGenerator,generateCommandClass,Long Statement,The length of the statement "MethodSpec applyMethod=MethodSpec.methodBuilder("apply").addAnnotation(Override.class).addModifiers(Modifier.PUBLIC).addParameter(viewTypeName`"mvpView").addExceptions(method.getExceptions()).addStatement("mvpView.$L($L)"`method.getName()`method.getArgumentsString()).build();" is 276.,54
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewStateClassGenerator,generateCommandClass,Long Statement,The length of the statement "TypeSpec.Builder classBuilder=TypeSpec.classBuilder(method.getCommandClassName()).addModifiers(Modifier.PUBLIC).addTypeVariables(method.getTypeVariables()).superclass(ParameterizedTypeName.get(ClassName.get(ViewCommand.class)`viewTypeName)).addMethod(generateCommandConstructor(method)).addMethod(applyMethod);" is 310.,54
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewStateClassGenerator,generateMethod,Long Statement,The length of the statement "return MethodSpec.overriding(method.getElement()).addStatement("$1N $2L = new $1N($3L)"`commandClass`commandFieldName`method.getArgumentsString()).addStatement("mViewCommands.beforeApply($L)"`commandFieldName).addCode("\n").beginControlFlow("if (mViews == null || mViews.isEmpty())").addStatement("return").endControlFlow().addCode("\n").beginControlFlow("for ($T view : mViews)"`viewTypeName).addStatement("view.$L($L)"`method.getName()`method.getArgumentsString()).endControlFlow().addCode("\n").addStatement("mViewCommands.afterApply($L)"`commandFieldName).build();" is 568.,78
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewStateClassGenerator,generateMethod,Magic Number,The method contains a magic number: 10,78
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstate,ViewStateClassGenerator,generateCommandConstructor,Long Statement,The length of the statement "MethodSpec.Builder builder=MethodSpec.constructorBuilder().addParameters(parameters).addStatement("super($S` $T.class)"`method.getTag()`method.getStrategy());" is 158.,104
mvp33_Moxy-master,com.arellomobile.mvp.compiler.viewstateprovider,InjectViewStateProcessor,getViewClassFromGeneric,Long Statement,The length of the statement "MvpCompiler.getMessager().printMessage(Diagnostic.Kind.WARNING`"Your " + typeElement.getSimpleName() + " is typed. @InjectViewState may generate wrong code. Your can set view/view state class manually.");" is 204.,124
